Team,Point Diff,W,L,WP,WT,LT,TT,
Atlanta,0.1,41,41,0.5,0.512,0.441,0.047,1.2%
Boston,6.9,57,25,0.695121951,0.628,0.316,0.056,-6.7%
Brooklyn,1,45,37,0.548780488,0.489,0.457,0.054,-6.0%
Charlotte,-6.2,27,55,0.329268293,0.336,0.613,0.051,0.7%
Chicago,1.3,40,42,0.487804878,0.466,0.476,0.058,-2.2%
Cleveland,5.8,51,31,0.62195122,0.533,0.416,0.051,-8.9%
Dallas,0.3,38,44,0.463414634,0.456,0.484,0.06,-0.7%
Denver,3.8,53,29,0.646341463,0.548,0.399,0.053,-9.8%
Detroit,-8.6,17,65,0.207317073,0.269,0.678,0.053,6.2%
Golden State,2.4,44,38,0.536585366,0.477,0.47,0.053,-6.0%
Houston,-8.6,22,60,0.268292683,0.326,0.618,0.056,5.8%
Indiana,-4.1,35,47,0.426829268,0.368,0.576,0.056,-5.9%
LA Clippers,-0.3,44,38,0.536585366,0.466,0.471,0.063,-7.1%
LA Lakers,0.4,43,39,0.524390244,0.46,0.479,0.06,-6.4%
Memphis,5,51,31,0.62195122,0.628,0.319,0.052,0.6%
Miami,-0.1,44,38,0.536585366,0.457,0.474,0.069,-8.0%
Milwaukee,4.4,58,24,0.707317073,0.614,0.336,0.051,-9.3%
Minnesota,0.5,42,40,0.512195122,0.543,0.397,0.06,3.1%
New Orleans,1.8,42,40,0.512195122,0.505,0.448,0.047,-0.7%
New York,3.4,47,35,0.573170732,0.54,0.402,0.058,-3.3%
Oklahoma City,0.6,40,42,0.487804878,0.425,0.516,0.06,-6.3%
Orlando,-2.4,34,48,0.414634146,0.408,0.538,0.055,-0.7%
Philadelphia,4.3,54,28,0.658536585,0.517,0.425,0.058,-14.2%
Phoenix,1.3,45,37,0.548780488,0.547,0.397,0.056,-0.2%
Portland,-3.8,33,49,0.402439024,0.429,0.514,0.058,2.7%
Sacramento,2.4,48,34,0.585365854,0.49,0.45,0.06,-9.5%
San Antonio,-9.9,22,60,0.268292683,0.324,0.626,0.051,5.6%
Toronto,1.5,41,41,0.5,0.511,0.437,0.052,1.1%
Utah,-0.9,37,45,0.451219512,0.411,0.533,0.056,-4.0%
Washington,-1.7,35,47,0.426829268,0.485,0.464,0.051,5.8%